51095,2
83925,1
54581,1
65272,1
18262,1
45655,2
46176,2
50794,2
26799,1
53214,2
60556,2
67579,2
24305,1
62580,2
70210,1
59988,1
54841,1
46176,2
99962,1
90621,1
60977,1
99459,2
56114,1
55456,2
74950,2
15274,2
68511,2
27313,2
45948,1
30060,1
91966,2
73170,2
55763,2
74606,1
60108,2
14137,1
86483,2
39673,1
99685,2
41741,2
14137,1
65055,2
99685,2
68080,1
54496,2
47591,2
53808,1
83009,1
61743,2
71843,2
67649,1
95195,2
82911,2
95692,2
16240,2
30060,1
70622,1
30737,2
42437,1
97644,1
59639,2
30088,2
13458,2
76817,1
76943,1
35894,1
51996,2
42702,1
60404,2
21468,1
13451,1
53810,1
87709,2
98533,1
90235,2
16805,1
73104,2
58388,1
33182,1
12550,1
82483,2
72805,2
28412,1
71803,2
87399,1
69259,2
53307,1
88869,2
10151,1
20302,2
58484,2
30272,2
58016,2
13451,1
99709,2
35566,2
29788,2
82325,2
49003,1
47412,1
56794,2
46923,1
40305,1
74442,1
31795,1
78487,1
59863,1
68296,1
40512,2
87912,2
22068,2
80772,1
92723,2
92723,2
92723,2
49920,2
49873,1
91111,1
67519,1
48766,2
98907,2
84219,1
12297,2
99240,2
49873,1
87912,2
25847,1
28519,1
81316,1
95809,1
71716,1
21367,1
86260,2
29785,1
53646,1
69701,1
60116,1
52222,2
98253,2
34798,2
87399,1
63048,2
93553,2
38170,1
41011,2
78487,1
62988,1
36725,1
93553,2
41011,2
